Manager,Ranking
H. Stevens,677
A. Čustović,676
N. Kavazović,675
C. Robinson,675
M. Jara,669
M. Hughes,667
S. Orteman,666
C. Nørgaard,664
Bruno Baltazar,662
I. Galád,659
Julio Velázquez,659
F. Villalba,657
H. Hamzaoğlu,657
P. Pezzolano,657
Q. Osmani,656
K. Rekdal,655
F. Bozán,654
Y. Abukasis,654
G. Potter,644
K. Stromsik,644
Chang Woe-Ryong,641
Hakeem Shakir,638
W. Vrancken,637
R. Calle,633
Shen Xiangfu,630
A. Daei,630
O. Kearney,629
G. Milito,626
R. Caruso Lombardi,626
T. Fink,625
Pablo Caballero,623
E. Villalba,622
R. Nadvornik,622
J. Sanguinetti,615
S. Stojanovič,614
J. Anigo,612
Kyung-Seob Song,610
M. Ficcadenti,608
Moamen Soliman,608
S. Drapić,600
J. Real,600
S. Gurenko,600
M. Svědík,596
E. Moe,595
M. Dos Santos,591
N. Bergstrand,590
André Jardine,589
G. Bedoya,587
Y. Anastasiou,586
M. Longo,585
L. Herrera,585
A. Taşyürek,580
A. Sormani,579
J. Vera,578
M. Babbel,567
F. Vercauteren,567
M. Panait,567
S. Henchoz,566
R. Sanzhar,563
N. Papadopoulos,561
Martí Cifuentes,560
L. Penev,560
G. Coleoni,556
R. Valdez,556
G. Esmerado,556
P. Lavallén,553
R. Pivarník,549
H. Vogel,548
P. Heckingbottom,544
M. Kaplan,543
M. Almeyda,542
L. Marin,536
J. González,536
N. Kekez,535
N. Miljanovic,532
A. Fyodorov,532
V. Ivanauskas,531
Valdir Bigode,529
Givanildo Oliveira,528
F. Davids,528
Dado Cavalcanti,528
T. Pawłowski,528
M. Schmidt,527
B. Mora,527
B. Schommers,526
M. van der Gaag,526
J. Masutha,523
M. Sönmez,522
J. Marsch,522
S. Parker,520
Paco Herrera,510
T. Häberli,509
V. Lavička,506
K. Daxbacher,505
I. Ledyakhov,505
H. Lisi,503
E. Espinel,502
R. Sanzotti,501
R. Cuello,498
P. Sarabia,493
J. Friis,493
L. Franco,492
A. Kuhn,492
Youssef Anbar,486
F. Arce,486
A. Nawałka,481
M. Mohajeri,480
I. Badea,478
R. Geyer,476
P. Donev,476
R. Kirilov,475
J. van 't Schip,465
Y. Ferrera,463
M. Méndez,462
N. Sanvicente,462
V. Cheburin,458
A. Minteuan,457
M. Tartar,456
A. Talalaev,455
R. Björknesjö,454
J. Carrasco,454
N. Maâloul,453
N. Willig,452
R. Ibertsberger,450
M. Decastel,450
R. Popović,447
H. Chávez,446
J. McIntyre,446
José Alberto López,446
A. Tikhonov,445
W. Grabherr,445
G. Sablić,444
Lluís Carreras,439
K. Knutsen,438
Paulo Sérgio,432
T. Yoshida,431
M. Milanović,430
V. Cifranič,430
A. Vukovic,429
P. Ferrari,428
D. Belmadi,425
V. Shevchuk,423
Fabri González,423
K. Chkhetiani,422
O. Jóhannesson,420
G. Dermendzhiev,420
B. Bandović,417
A. Cañas,416
E. Baumeister,416
L. Reghecampf,409
O. Boychyshyn,409
S. Mimer,409
G. Leekens,408
M. Koretski,408
A. Ghotbi,408
N. Karageorgiou,408
C. Ellili,408
G. Riddersholm,406
M. Kosanović,405
P. Rogan,404
Luizinho Vieira,401
A. Apud,400
A. Koch,394
P. Amodio,394
F. Straka,392
P. Vlachovský,392
J. Bodmer,390
A. Pastoor,387
Ismael Rescalvo,383
L. Elsner,382
Mohamed Helmi,380
M. Cardetti,379
V. Quesada,377
T. Korkut,376
M. Gómez,376
P. Quatrocchi,376
J. Sandahl,375
G. Mulţescu,374
J. Siewert,371
S. Jokanović,371
C. Aldirico,370
F. Robatto,366
D. Milanič,366
S. Stoev,364
L. Sebti,364
A. Marzban,360
Vinícius Eutrópio,360
M. Đukić,360
J. Borg,360
A. Julio,360
N. Lalatović,359
M. Jacobacci,358
J. Giacone,357
M. Jalali,357
A. Erlandsen,357
Cláudio Prates,356
Miguel Portugal,356
Gilson,354
João Burse,353
Eduardo Baptista,352
P. Hapal,351
M. Retov,348
T. Takagi,345
M. Pehrsson,343
P. Winqvist,341
S. Baumgart,339
F. Schmidt,339
K. Belhocine,338
J. da Silva,337
F. Ortiz,335
N. Harris,334
M. Kordula,330
L. Ojrzynski,329
I. Klymovskyi,329
L. Arnáez,329
J. Chávez,328
J. Azconzábal,328
N. Avitan,327
E. Acevedo,326
Ney Franco,325
Bandar Basryh,324
C. Pustai,322
A. Conte,319
M. Lehkosuo,316
B. Berntsen,313
M. Mićović,311
Luis Pimenta,310
Yoo Sang-Chul,305
Kim Myung Hwi,305
C. Jara Saguier,304
Jorvan Vieira,304
J. Giordano,304
D. Rossi,302
E. Favaro,300
M. Balbul,300
L. Escobar,299
S. Cusin,298
M. Stahre,297
M. Brignani,297
T. Sollied,296
A. Vera,296
M. Horňák,294
Unzué,294
K. Praženica,293
Ricardo Chéu,293
D. Šmejkal,292
F. Correa,290
P. Sørensen,290
V. Urbonas,283
V. Kosovskyi,282
H. Rydström,281
D. Munteanu,278
D. Aničić,278
L. Núñez,278
N. Milovanović,278
S. Krunić,278
R. Villamizar,274
T. Kashtan,273
B. Tennes,272
S. Pruidze,272
Yuri,272
D. Preiss,268
J. Real,268
T. Boy,268
Marcos Paquetá,267
T. Grumser,267
J. Basualdo,266
Fabio Moreno,264
Frederico Ricardo,263
H. Torres,259
D. Kinnear,258
Chu Đình Nghiêm,256
O. Tanchot,254
M. Sorin,254
D. Ollé-Nicolle,254
J. Zielinski,253
P. Maes,253
D. Farías,253
D. Zuraw,252
D. Tešović,252
N. Mapeza,252
D. Dźwigała,252
V. Hansen,250
P. Ljung,250
J. Grindhaug,250
E. Fuertes,250
J. Jarábek,249
A. Kizil,248
E. Levy,245
Ž. Sopić,245
Rogério Ceni,244
D. Davies,243
Marcelo Cabo,243
G. Costas,243
R. Levy,242
H. Musemić,242
M. Arriola,241
Rafael García,241
Mohammad Taghavi,240
H. Faraki,240
P. Vélez,238
S. Rožman,236
Carlos Alós,235
M. García,233
H. Çalışkan,232
C. Gâlcă,232
J. Rodríguez,231
C. Michael,231
