Manager,Ranking
P. Čuhel,788
K. Madoui,787
H. Van Veldhoven,780
F. Vercauteren,780
P. Rada,773
C. Kaiafas,772
Alejandro Menéndez,768
B. Babić,764
R. Skarsfjord,762
J. Giordano,762
S. Rebrov,756
V. Puerto,750
Gilson Kleina,750
Y. Abukasis,748
Y. Luzon,747
H. Berg,745
O. Christensen,743
B. Hasi,741
R. Van Geneugden,741
Victor Fernández,737
O. Vasilenko,735
D. Alonso,732
N. Pantelis,731
D. Okuka,729
Shen Xiangfu,729
J. Ortega,720
M. Kotůlek,717
O. Taran,715
Å. Hareide,714
Paulo Sérgio,706
Edson Pimenta,700
Tcheco,700
Miller Gomes,699
H. Atamaniuk,694
R. Levy,689
A. Anastasiadis,688
O. De Felippe,682
B. Solomons,681
L. Zubeldía,680
Abel Xavier,680
G. Pelusso,677
H. Dhaou,674
J. Rodríguez,674
E. Lienen,674
C. Ţălnar,670
Z. Verdenik,667
M. Larriera,666
F. Yallop,661
R. Giggs,660
Jong-Hwan Park,659
G. Devdariani,657
M. Pellegrino,657
M. Josa,651
Guo Guangqi,648
Guo Guangqi,648
D. Terezopoulos,645
L. Grozavu,645
N. Kehagias,645
J. Elías,644
M. Leflochmoan,643
E. Al Sulami,642
L. Smerud,636
A. Thomsson,636
A. Anwar,635
G. Jara,630
T. Okada,626
S. Hyndman,619
J. Tomasson,613
H. Eklund,603
T. Skullerud,602
N. Anastopoulos,602
Y. Krasnozhan,602
E. Berizzo,600
Paco Fernández,600
M. Ertuğral,600
R. Lunari,600
T. Ogura,600
F. García,600
V. Vermezović,600
Abel Resino,598
K. Hasegawa,585
A. Nishino,585
M. Ficcadenti,585
L. De Canio,584
D. López,584
D. Eleftheropoulos,580
R. Krol,575
M. Koubek,573
A. Torstensson,572
R. Ivančević,572
E. Seçme,568
U. Rösler,565
K. Downing,565
S. Sofokleous,563
M. Vucetich,563
C. Popovici,556
L. Roussey,547
K. Jurčić,546
B. Speas,545
A. Holguín,544
F. Marin,538
P. Carteron,536
G. Baumgartner,530
J. Romero,527
C. Canalioğlu,525
P. Fenlon,525
I. Gane,519
Xi Zhikang,513
Hak-Beom Kim,512
R. Chacón,511
Marco Paulo,510
D. Baltierra,507
S. Watanabe,507
P. Rodríguez,507
A. Reutershahn,505
S. Puchkov,503
J. Betancourt,502
Levi Gomes,500
A. Skarbalius,496
Y. Maksimov,490
J. Santa,486
J. Anthony,486
B. Uygun,485
M. Decastel,483
J. Weber,479
Ó. Kristjánsson,478
P. Sarmiento,478
E. Pimentel,477
E. Uzal,476
Z. Njeguš,476
R. Martínez,476
C. Pasuwa,475
S. Jokanović,475
Quique Sánchez Flores,474
V. Alvarado,473
H. Pacheco,473
A. Papadopoulos,473
Lotina,473
F. Ravanelli,469
K. Okuma,468
A. Cungu,467
D. Gunko,467
A. Pastoor,465
Manolo Jiménez,464
D. Sanchez,461
J. Cassar,458
R. Maaskant,456
C. De Toro,456
O. Coyle,456
İ. Buz,453
J. Reynoso,450
J. Garay,450
Miguel Álvarez,450
Júnior Rocha,450
S. Kasri,449
J. Gonçalves,444
Costinha,442
T. Selymes,439
C. Michniewicz,438
G. Sannino,438
N. Kolombourdas,435
J. Espinoza,435
F. Straka,433
S. Batista,432
E. Cohen,431
M. Petrous,430
I. Leko,429
I. Marin,429
C. Robinson,428
José Mota,425
N. Clough,424
C. Powell,424
I. Petrov,423
M. Zub,423
B. Giunta,420
L. Fallas,420
Mohammed Hajeyah,413
J. Rodríguez,413
G. De Los Santos,413
L. Klusáček,411
A. Șunda,410
T. Fink,404
T. Fink,404
H. Loubat,403
G. Mulţescu,403
V. Konik,402
Eduardo Baptista,400
Zé Teodoro,400
M. Bielsa,399
F. Terim,398
P. Mastroeni,397
H. Gudjonsson,396
A. Grigoryan,395
M. Streiter,392
P. Balette,390
D. Jeffrey,388
F. Klausner,388
A. Maikaba,383
V. Nikitenko,382
Deok-Je Cho,382
B. Bogićević,381
P. Ljung,381
B. Bradley,380
Ó. Pérez,379
Fathi Mabrouk,377
Fathi Mabrouk,377
D. Freedman,377
A. Čačić,376
M. Qosimov,375
J. Mølby,375
I. Stan,375
R. Pompei,372
O. Blanco,372
M. Brindisi,372
Pablo Caballero,370
G. Hiddink,368
B. Camacho,366
T. Pawłowski,361
G. Stevanović,361
M. Lapuente,360
B. Galindo,360
N. Rakojević,353
V. Velcea,351
M. Ješić,350
S. Mojsilović,349
M. Saralegui,349
R. Dorňák,345
T. Lemonis,344
I. Negrescu,341
Ş. Stoica,335
I. Osinkin,334
P. Hapal,333
G. Benítez,330
R. Páez,328
M. Beretta,328
D. Casas,328
C. Larsen,326
Z. Yankov,325
W. Alhadi,325
A. Haan,324
Zhu Jiong,324
D. Krznar,323
I. Moșteanu,322
I. Badea,322
M. Şumudică,322
C. Torres,318
N. Milovanović,318
Beñat San José,317
Ibrahim Youssef,317
E. Tudor,317
T. Pertia,316
J. Galko,316
K. Tskhadadze,312
G. De Boeck,312
G. De Boeck,312
P. Morant,310
N. Gorosito,310
F. Sava,310
E. Méndez,310
T. Baysufinov,309
B. Bliss,307
T. Sollied,306
Miguel Leal,302
Fernando Valente,302
A. Kombouare,302
K. Panagopoulos,301
P. Sikora,300
E. Topuzakov,300
B. Kidd,300
Wagner Lopes,300
Jorginho,300
D. Vasev,300
V. Velikov,300
Mendilibar,299
M. Wiesinger,299
Fernando Vázquez,299
J. González,296
Jin-Han Choi,293
F. Liverani,292
J. Halvorsen,292
J. García,292
R. Khuzin,288
A. Skowronek,284
I. Holloway,283
E. Trică,280
A. Sialle,279
V. Bichakhchyan,276
K. Angelov,275
A. Bukarev,275
Z. Psotka,274
J. Rodríguez,273
Tang Yaodong,270
Cheng Yaodong,270
V. Skripchenko,270
R. Kirchler,269
S. Muslin,267
J. Pučinskis,266
A. Boyacá,264
D. Alexa,263
E. Rivera,261
W. Schuldes,260
A. Vosniadis,258
R. Mroczkowski,258
R. Moniz,257
