home_team_attack,home_team_midfield,home_team_defense,home_team_overall,home_team_past_points,home_team_past_goal_diff,home_team_past_appearances,home_team_streak,home_team_best_perf,away_team_attack,away_team_midfield,away_team_defense,away_team_overall,away_team_past_points,away_team_past_goal_diff,away_team_past_appearances,away_team_streak,away_team_best_perf,diff_team_attack,diff_team_midfield,diff_team_defense,diff_team_overall,diff_team_past_points,diff_team_past_goal_diff,diff_team_past_appearances,diff_team_streak,diff_team_best_perf
74.0,74.0,74.0,74.0,21.0,-49.0,6,0,10,72.0,74.0,73.0,73.0,0.0,-69.0,0,0,0,-2.0,1.0,2.0,1.0,-18.5,-26.0,1.0,-1.0,0.0
90.0,81.0,80.0,82.0,64.0,21.666666666666668,20,20,19,79.0,78.0,79.0,79.0,54.0,-1.6666666666666667,20,20,17,16.0,10.0,11.0,11.0,64.0,90.66666666666667,19.0,20.0,17.0
75.0,76.0,74.0,75.0,42.0,-17.5,6,0,10,83.0,79.0,77.0,79.0,62.333333333333336,15.333333333333334,20,20,20,-9.0,-5.0,-8.0,-7.0,-38.0,-67.83333333333334,-4.0,-10.0,-10.0
78.0,81.0,77.0,78.0,53.666666666666664,-1.3333333333333333,7,3,14,77.0,76.0,74.0,76.0,45.333333333333336,-15.333333333333334,9,8,11,4.0,8.0,6.0,5.0,53.666666666666664,67.66666666666667,7.0,3.0,14.0
83.0,79.0,77.0,79.0,62.333333333333336,15.333333333333334,20,20,20,82.0,81.0,78.0,80.0,60.0,15.666666666666666,9,7,20,5.0,4.0,3.0,4.0,20.0,28.333333333333336,13.0,16.0,9.0
72.0,74.0,73.0,73.0,0.0,-69.0,0,0,0,76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,5,14,-11.0,-11.0,-8.0,-10.0,-62.666666666666664,-90.0,-9.0,-9.0,-18.0
77.0,74.0,76.0,76.0,39.333333333333336,-15.333333333333334,4,4,6,86.0,83.0,85.0,84.0,88.33333333333333,48.333333333333336,20,20,20,6.0,3.0,3.0,4.0,-1.6666666666666643,9.333333333333334,-2.0,-2.0,-5.0
84.0,85.0,82.0,83.0,68.33333333333333,20.333333333333332,20,20,20,79.0,75.0,75.0,76.0,44.666666666666664,-14.0,18,4,18,8.0,10.0,7.0,7.0,22.33333333333333,31.333333333333332,17.0,17.0,10.0
77.0,76.0,74.0,76.0,45.333333333333336,-15.333333333333334,9,8,11,84.0,86.0,86.0,85.0,88.33333333333333,63.333333333333336,19,19,20,-5.0,-8.0,-5.0,-5.0,-15.666666666666664,-27.0,-1.0,-2.0,-6.0
79.0,78.0,79.0,79.0,54.0,-1.6666666666666667,20,20,17,78.0,81.0,77.0,78.0,53.666666666666664,-1.3333333333333333,7,3,14,-5.0,-2.0,-2.0,-2.0,-17.66666666666667,-35.666666666666664,10.0,10.0,-3.0
