home_team_attack,home_team_midfield,home_team_defense,home_team_overall,home_team_past_points,home_team_past_goal_diff,home_team_past_appearances,home_team_past_possession,home_team_past_shots,home_team_past_shots_on_goal,home_team_streak,home_team_best_perf,away_team_attack,away_team_midfield,away_team_defense,away_team_overall,away_team_past_points,away_team_past_goal_diff,away_team_past_appearances,away_team_past_possession,away_team_past_shots,away_team_past_shots_on_goal,away_team_streak,away_team_best_perf,diff_team_attack,diff_team_midfield,diff_team_defense,diff_team_overall,diff_team_past_points,diff_team_past_goal_diff,diff_team_past_appearances,diff_team_past_possession,diff_team_past_shots,diff_team_past_shots_on_goal,diff_team_streak,diff_team_best_perf
72.0,74.0,73.0,73.0,0.0,-69.0,0,0.0,0.0,0.0,0,0,79.0,75.0,75.0,76.0,44.666666666666664,-14.0,18,39.03508771929825,10.868421052631579,3.6403508771929824,4,18,-7.0,-1.0,-2.0,-3.0,-44.666666666666664,-55.0,-18,-39.03508771929825,-10.868421052631579,-3.6403508771929824,-4,-18
77.0,74.0,76.0,76.0,39.333333333333336,-15.333333333333334,4,48.48245614035088,11.578947368421053,3.456140350877193,4,6,79.0,76.0,77.0,78.0,45.0,-8.5,17,46.01315789473684,12.855263157894736,4.421052631578948,2,15,-2.0,-2.0,-1.0,-2.0,-5.666666666666664,-6.833333333333334,-13,2.469298245614034,-1.2763157894736832,-0.9649122807017547,2,-9
77.0,76.0,74.0,76.0,45.333333333333336,-15.333333333333334,9,43.26315789473684,10.657894736842104,3.508771929824561,8,11,76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,41.271929824561404,9.868421052631579,3.3157894736842106,5,14,1.0,0.0,-3.0,0.0,1.0,1.9999999999999982,2,1.9912280701754383,0.7894736842105257,0.1929824561403506,3,-3
85.0,84.0,83.0,84.0,68.66666666666667,23.333333333333332,20,55.57017543859649,13.956140350877194,5.719298245614035,20,20,75.0,76.0,74.0,75.0,42.0,-17.5,6,44.56578947368421,11.328947368421053,3.6052631578947367,0,10,10.0,8.0,9.0,9.0,26.66666666666667,40.83333333333333,14,11.00438596491228,2.6271929824561404,2.1140350877192984,20,10
79.0,79.0,79.0,79.0,52.0,-0.3333333333333333,17,45.1578947368421,11.631578947368421,4.254385964912281,9,15,78.0,81.0,77.0,78.0,53.666666666666664,-1.3333333333333333,7,48.08771929824562,12.289473684210526,3.982456140350877,3,14,1.0,-2.0,2.0,1.0,-1.6666666666666643,1.0,10,-2.929824561403514,-0.6578947368421044,0.2719298245614037,6,1
79.0,78.0,79.0,79.0,54.0,-1.6666666666666667,20,49.13157894736842,11.991228070175438,4.201754385964913,20,17,84.0,86.0,86.0,85.0,88.33333333333333,63.333333333333336,19,66.16666666666667,17.640350877192983,6.5,19,20,-5.0,-8.0,-7.0,-6.0,-34.33333333333333,-65.0,1,-17.035087719298254,-5.6491228070175445,-2.2982456140350873,1,-3
84.0,85.0,82.0,83.0,68.33333333333333,20.333333333333332,20,61.824561403508774,15.631578947368421,5.508771929824562,20,20,82.0,81.0,78.0,80.0,60.0,15.666666666666666,9,54.31578947368421,13.421052631578947,4.850877192982456,7,20,2.0,4.0,4.0,3.0,8.333333333333329,4.666666666666666,11,7.508771929824562,2.2105263157894743,0.6578947368421053,13,0
79.0,76.0,77.0,78.0,45.0,-8.5,17,46.01315789473684,12.855263157894736,4.421052631578948,2,15,76.0,77.0,74.0,76.0,44.666666666666664,-16.666666666666668,13,48.21052631578947,12.333333333333334,4.482456140350878,9,15,3.0,-1.0,3.0,2.0,0.3333333333333357,8.166666666666668,4,-2.19736842105263,0.5219298245614024,-0.06140350877192979,-7,0
76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,41.271929824561404,9.868421052631579,3.3157894736842106,5,14,84.0,85.0,82.0,83.0,68.33333333333333,20.333333333333332,20,61.824561403508774,15.631578947368421,5.508771929824562,20,20,-8.0,-9.0,-5.0,-7.0,-23.999999999999993,-37.666666666666664,-13,-20.55263157894737,-5.7631578947368425,-2.192982456140351,-15,-6
82.0,81.0,78.0,80.0,60.0,15.666666666666666,9,54.31578947368421,13.421052631578947,4.850877192982456,7,20,78.0,78.0,75.0,76.0,59.0,8.0,4,57.55263157894737,13.736842105263158,5.2368421052631575,1,16,4.0,3.0,3.0,4.0,1.0,7.666666666666666,5,-3.2368421052631575,-0.3157894736842106,-0.3859649122807012,6,4
